"region","mean_value_mean","mean_cattle_mean","data_uncertainty_lower","data_uncertainty_upper","data_uncertainty_width","model_uncertainty_lower","model_uncertainty_upper","model_uncertainty_width","uncertainty_ratio"
"Jimma Arjo",0.322,30441,27389,33753,6364,29831,31055,1224,5.2
"Jimma Genete",0.324,8501,7013,9828,2815,8260,8747,486,5.79
"Jimma Horo",0.356,14566,12600,16699,4098,13957,15188,1230,3.33
"Jimma Rare",0.332,21448,18883,23975,5092,20960,21940,980,5.2
"Jore",0.025,160,20,575,555,66,330,265,2.09
"Kacha Bira",0.277,9958,7668,12506,4839,9615,10308,693,6.98
"Kafta Humera",0.277,25155,18144,34132,15988,20020,31177,11158,1.43
"Kalu",0.524,123765,102347,145809,43462,114901,132588,17687,2.46
"Kamashi",0.328,3450,3053,3867,814,3353,3548,195,4.17
"Kebena",0.378,22669,20146,25034,4888,22085,23258,1173,4.17
"Kebribeyah",0.368,0,0,0,0,0,0,0,NA
"Kebridehar",0.374,0,0,0,0,0,0,0,NA
"Kediada Gambela",0.277,34013,27965,40970,13005,32922,35121,2200,5.91
"Kelafo",0.403,0,0,0,0,0,0,0,NA
"Kelela",0.491,98334,81261,115776,34515,92756,103920,11164,3.09
"Kelete Awelallo",0.043,3488,226,14053,13827,1211,7735,6524,2.12
"Kemba",0.344,64795,56253,74248,17995,62879,66736,3857,4.67
"Kembibit",0.421,27571,22096,32779,10683,26115,29042,2926,3.65
"Kercha",0.271,22322,18619,26119,7500,21047,23633,2586,2.9
"Kersa",0.325,81495,71256,92894,21638,79436,83590,4154,5.21
"Kersana Malima",0.385,8958,7906,10100,2194,8657,9262,604,3.63
"Kewet",0.495,48980,40393,57599,17205,45866,52097,6232,2.76
"Kiltu Kara",0.352,18877,16934,20921,3986,18493,19263,770,5.18
"Kindo Dida",0.347,25155,22300,28067,5767,24605,25709,1104,5.22
"Kindo Koysha",0.362,14938,13471,16347,2876,14595,15284,688,4.18
"Kiremu",0.337,25179,22584,27845,5261,24650,25711,1061,4.96
"Kobo",0.321,98180,71031,129654,58623,84370,113108,28737,2.04
"Kochere",0.262,8952,7312,10568,3256,8480,9437,957,3.4
"Kochere Gedeb",0.253,14736,11998,17621,5624,14008,15483,1474,3.82
"Kofele",0.228,59599,43989,80552,36563,56095,63220,7126,5.13
"Kokir Gedbano",0.36,60711,51074,69450,18376,58932,62508,3576,5.14
"Kokosa",0.243,63064,46482,84643,38161,59276,66974,7698,4.96
"Kola Temben",0.087,11540,3684,25485,21801,6810,18215,11405,1.91
"Kolfe - Keran",0.216,0,0,0,0,0,0,0,NA
"Kombolcha",0.362,0,0,0,0,0,0,0,NA
"Kondaltiti",0.37,23776,19835,27204,7370,23007,24554,1547,4.76
"Koneba",0.044,875,21,4338,4317,221,2256,2036,2.12
"Konso",0.357,48434,42809,53502,10692,46616,50275,3659,2.92
"Konta",0.359,35440,32043,38935,6892,34665,36221,1556,4.43
"Kore",0.225,54311,40336,72935,32599,50951,57787,6836,4.77
"Kucha",0.352,55687,50132,60924,10792,54483,56901,2417,4.47
"Kuni",0.314,38946,30938,47715,16777,11815,79449,67634,0.25
"Kurfa Chele",0.342,0,0,0,0,0,0,0,NA
"Kurmuk",0.674,13778,12537,14981,2444,13415,14133,718,3.4
"Kurri",0.107,2359,90,10243,10153,765,5143,4379,2.32
"Kutaber",0.49,36733,29106,44187,15081,34253,39218,4964,3.04
"Kuyu",0.422,65424,56708,74140,17432,62714,68159,5445,3.2
"Laelay Adiyabo",0.026,4609,217,23619,23402,852,14471,13619,1.72
"Laelay Maychew",0.049,3106,717,7704,6987,302,12746,12443,0.56
"Lagahida",0.315,0,0,0,0,0,0,0,NA
"Lalo Asabi",0.281,13353,11829,14911,3082,13040,13670,630,4.89
"Lalo Kile",0.256,29222,24226,34315,10089,28423,30032,1609,6.27
"Lanfero",0.303,33098,28370,38118,9748,31926,34288,2363,4.13
"Lare",0.297,13522,10511,17421,6910,11761,15436,3675,1.88
"Lasta",0.401,31645,24459,38889,14431,29653,33667,4014,3.6
"Lay Armacho",0.257,47888,40635,55718,15084,45019,50849,5830,2.59
"Lay Gayint",0.354,56396,45052,67522,22470,53471,59375,5904,3.81
"Legambo",0.49,53233,40757,64375,23618,49842,56631,6790,3.48
"Lege Hida",0.278,7253,4637,11134,6497,1503,17620,16117,0.4
"Legehida",0.491,19691,15371,23835,8464,18400,20984,2584,3.28
"Leka Dulecha",0.319,15127,13572,16732,3160,14843,15414,572,5.52
"Liben",0.835,104422,69261,123567,54306,92341,113716,21375,2.54
"Liben Chukala",0.373,36203,31864,41029,9165,34772,37651,2879,3.18
"Libo Kemkem",0.27,32728,27199,38567,11369,31211,34280,3069,3.7
"Limu",0.314,57760,50149,66459,16310,56047,59496,3448,4.73
"Limu Bilbilo",0.236,67858,52034,85438,33403,63461,72410,8949,3.73
"Limu Kosa",0.34,57949,51937,64329,12392,56579,59332,2753,4.5
"Limu Seka",0.345,68968,62099,75874,13776,67513,70434,2921,4.72
"Loka Abaya",0.309,34151,29513,38790,9278,33015,35304,2290,4.05
"Loma Bosa",0.372,27778,25032,30515,5483,27146,28416,1270,4.32
"Lome",0.366,40432,35052,46161,11109,38649,42241,3592,3.09
"Lude Hitosa",0.281,22626,18412,27030,8618,21416,23867,2451,3.52
"Maji",0.496,10765,9495,12004,2509,10296,11232,937,2.68
"Male",0.371,44035,39563,48782,9219,42555,45531,2975,3.1
"Malga",0.225,19821,13766,27776,14010,18636,21047,2411,5.81
"Malka Balo",0.329,286,0,2721,2721,28,742,714,3.81
"Mana Sibu",0.412,50540,45280,55825,10545,49532,51552,2020,5.22
"Mandura",0.313,9204,8167,10222,2054,8919,9494,575,3.57
"Maokomo Special",0.545,20548,18612,22471,3859,20014,21081,1067,3.62
"Mareka",0.34,41295,35959,46827,10868,40248,42353,2105,5.16
"Mareko",0.317,22671,19865,25732,5867,21905,23447,1542,3.8
"Masha",0.291,9957,8369,11366,2997,9650,10268,618,4.85
"Mecha",0.272,82894,73109,93570,20460,80690,85127,4437,4.61
"Meda Welabu",0.584,81606,54872,107641,52769,68854,93077,24223,2.18
"Medebay Zana",0.071,8443,3163,17695,14532,1950,24383,22433,0.65
"Megale",0.093,4511,450,14975,14525,1813,8974,7161,2.03
"Mehal Sayint",0.457,31650,26368,37463,11095,29905,33408,3503,3.17
"Mekdela",0.467,82090,64593,99200,34607,76965,87245,10280,3.37
"Meket",0.399,87223,69061,106113,37051,82043,92483,10440,3.55
"Meko",0.312,7846,7020,8737,1717,7693,8000,307,5.59
"Melekoza",0.364,31891,28492,35373,6882,31102,32687,1585,4.34
"Melka Soda",0.527,44314,32730,56782,24052,39873,48683,8810,2.73
"Mena",0.343,66409,56916,76033,19117,62086,70819,8733,2.19
"Menge",0.556,1933,1750,2117,367,1884,1981,98,3.74
"Mengesh",0.304,3029,2655,3456,801,2930,3130,201,3.99
"Menit Goldiye",0.327,27436,24211,30592,6380,26705,28175,1470,4.34
"Menit Shasha",0.358,15241,13541,17061,3520,14744,15744,1000,3.52
"Menjiwo",0.331,32612,28059,36740,8682,31818,33415,1596,5.44
"Menz Gera Midir",0.525,50824,39114,61220,22105,47456,54176,6720,3.29
"Menz Keya Gabriel",0.525,22941,18648,27329,8682,21621,24256,2635,3.29
"Menz Lalo Midir",0.52,16928,13460,20167,6707,15918,17935,2016,3.33
"Menz Mama Midir",0.495,43173,34307,51510,17202,40385,45962,5578,3.08
"Merahbete",0.491,43769,36540,50943,14403,41532,46009,4477,3.22
"Mereb Leke",0.047,4399,705,13239,12535,112,25222,25110,0.5
"Merti",0.347,45751,38722,53054,14332,43086,48472,5386,2.66
"Mesela",0.325,2941,0,24963,24963,304,7544,7240,3.45
"Meskan",0.323,51156,44966,57851,12886,49399,52939,3540,3.64
"Meta",0.336,0,0,0,0,0,0,0,NA
"Meta Robi",0.406,75517,65856,84995,19139,72575,78488,5914,3.24
"Metema",0.416,65573,52234,79904,27670,58628,72691,14062,1.97
"Metu Zuria",0.298,15684,14032,17419,3387,15284,16088,804,4.21
"Meyu",0.318,0,0,0,0,0,0,0,NA
"Meyumuluka",0.336,0,0,0,0,0,0,0,NA
"Michakel",0.351,56007,49103,63156,14053,54060,57978,3918,3.59
"Mida Kegn",0.367,37353,33285,41625,8340,36475,38238,1763,4.73
"Midega Tola",0.344,0,0,0,0,0,0,0,NA
"Mierab Azenet Berbere",0.289,28021,22343,34828,12486,27085,28972,1886,6.62
"Mierab Badawacho",0.274,19450,15290,24092,8802,18807,20105,1297,6.79
"Mieso",0.388,54909,44750,65042,20292,32833,82434,49601,0.41
"Miesso",0.432,9144,5162,13879,8717,2624,17088,14464,0.6
"Mile",0.352,23767,9755,44883,35127,9194,44056,34862,1.01
"Mimo Weremo",0.497,35314,28710,41779,13069,33194,37432,4238,3.08
"Minjar Shenkora",0.415,61072,51662,70824,19162,57971,64207,6236,3.07
"Mirab Abaya",0.334,15429,13267,17295,4028,15044,15818,775,5.2
"Mirab Armacho",0.445,36297,27233,45666,18433,31666,41029,9363,1.97
"Misha",0.329,35452,29894,41618,11724,34422,36496,2074,5.65
"Misrak Azenet Berbere",0.298,9055,7503,10852,3349,8783,9330,546,6.13
"Misrak Badawacho",0.273,23315,19056,27875,8819,22477,24168,1691,5.22
"Miyo",0.966,59062,49123,61063,11940,55757,60602,4845,2.46
"Mojan Wedera",0.484,40120,32044,47894,15850,37722,42525,4803,3.3
"Moretna Jiru",0.505,31817,25696,37910,12214,29965,33665,3700,3.3
"Moyale",0.951,171338,136839,178722,41883,158290,176746,18456,2.27
"Muhur Na Aklil",0.343,36786,30465,44056,13591,35687,37898,2212,6.14
"Mulo",0.439,31251,26308,35845,9537,29939,32573,2634,3.62
"Munessa",0.254,55508,44513,67529,23017,52507,58593,6086,3.78
"Mustahil",0.414,0,0,0,0,0,0,0,NA
"Naeder Adet",0.087,9323,3977,17971,13994,3730,19486,15756,0.89
"Nefas Silk",0.299,5809,1975,9102,7127,4925,6798,1873,3.81
"Nejo",0.293,33822,30115,38008,7893,32986,34668,1682,4.69
"Nenesebo",0.241,38710,30830,47698,16869,36011,41509,5499,3.07
"Nole Kaba",0.297,9533,8513,10557,2044,9334,9734,400,5.11
"Nono",0.366,6285,5484,7109,1625,6143,6428,286,5.68
"Nunu Kumba",0.331,20616,18526,22658,4132,20226,21010,784,5.27
"Odo Shakiso",0.353,32913,26603,40555,13952,30279,35607,5328,2.62
"Ofa",0.32,32370,28236,36808,8573,31643,33104,1461,5.87
"Ofla",0.242,26093,16630,37473,20843,21245,31539,10294,2.02
"Omo Nada",0.341,120175,105672,136079,30407,117327,123050,5723,5.31
"Pawe Special",0.302,11166,9930,12505,2576,10855,11481,626,4.12
"Quara",0.447,55812,44055,67692,23638,49784,61935,12151,1.95
"Quarit",0.324,32645,27734,37221,9487,31647,33655,2008,4.72
"Raya Azebo",0.148,34386,11016,74240,63224,21169,51957,30788,2.05
"Rayitu",0.244,5936,4410,7693,3283,823,16796,15973,0.21
"Robe",0.253,58144,47352,70436,23084,54221,62204,7983,2.89
"Saba Boru",0.609,63922,43195,85382,42187,55975,71512,15537,2.72
"Saesie Tsaedaemba",0.024,3079,112,14766,14654,614,9435,8821,1.66
"Saharti Samre",0.134,18166,7340,35697,28356,12048,26122,14074,2.01
"Sahla",0.334,28704,20543,37971,17427,25886,31628,5742,3.04
"Sale Nono",0.292,5288,4558,6025,1467,5111,5467,356,4.12
"Sankura",0.294,20447,17449,23648,6198,19699,21207,1508,4.11
"Sasiga",0.319,23779,21287,26199,4912,23275,24287,1012,4.85
"Sayilem",0.302,18057,15321,20533,5212,17544,18576,1032,5.05
"Sayint",0.473,64894,52282,77401,25119,61122,68682,7560,3.32
"Sayo",0.293,23142,20401,26081,5680,22493,23800,1308,4.34
"Sayo Nole",0.302,8002,7061,8889,1828,7843,8162,319,5.73
"Seden Sodo",0.372,26986,22655,30478,7823,26156,27824,1668,4.69
"Segeg",0.334,0,0,0,0,0,0,0,NA
"Seka Chekorsa",0.305,33542,28669,39410,10741,32592,34504,1912,5.62
"Sekela",0.298,47256,40366,54169,13804,45943,48585,2641,5.23
"Sekoru",0.346,88839,76035,102669,26634,86059,91650,5591,4.76
"Sekota",0.315,49984,38843,61903,23061,45607,54579,8971,2.57
"Selahad",0.295,0,0,0,0,0,0,0,NA
"Selamgo",0.397,42539,37779,47656,9877,41020,44066,3045,3.24
"Selti",0.311,44270,37930,51174,13244,42788,45772,2985,4.44
"Semen Achefer",0.255,44819,39382,51042,11661,42989,46702,3713,3.14
"Semen Bench",0.281,22020,18245,26277,8032,21299,22753,1454,5.52
"Senan",0.367,49254,40989,57001,16013,47327,51205,3879,4.13
"Serer/Elkere",0.334,6,0,0,0,0,20,19,0
"Seru",0.279,31466,25200,38133,12932,28859,34194,5334,2.42
"Setema",0.317,38332,33116,43499,10383,37380,39294,1914,5.42
"Seweyna",0.263,9601,7729,11797,4069,2609,22443,19834,0.21
"Shalla",0.308,33496,28648,39670,11023,32121,34896,2775,3.97
"Shashemene Zuria",0.254,71693,58653,86956,28303,68105,75376,7271,3.89
"Shashogo",0.29,27877,23782,32119,8337,26955,28813,1858,4.49
"Shay Bench",0.299,28835,24705,33611,8906,28022,29659,1637,5.44
"Shebe Dino",0.217,10579,6953,14847,7894,9913,11271,1358,5.81
"Shebe Sambo",0.328,63060,56238,70255,14016,61624,64510,2886,4.86
"Shebel Bereta",0.456,37028,31887,42672,10785,35315,38752,3437,3.14
"Sheka",0.308,5282,4671,5929,1258,5119,5448,329,3.82
"Shekosh",0.371,0,0,0,0,0,0,0,NA
"Sherkole",0.614,3533,3168,3934,766,3434,3632,198,3.87
"Shilabo",0.394,0,0,0,0,0,0,0,NA
"Shinile",0.412,1,0,0,0,0,8,8,0
"Shirka",0.255,48555,39731,59229,19497,45483,51728,6246,3.12
"Sibu Sire",0.307,79043,66980,92950,25970,76936,81177,4241,6.12
"Sigmo",0.305,35520,30518,41159,10641,34562,36489,1926,5.52
"Simada",0.4,165668,141268,190487,49219,157530,173906,16376,3.01
"Simurobi Gele'alo",0.52,42248,33177,50595,17419,39320,45160,5839,2.98
"Sinana",0.202,34573,26244,44784,18540,31373,37947,6574,2.82
"Siraro",0.287,45510,39226,52209,12984,43794,47255,3460,3.75
"Sirba Abay",0.481,4157,3728,4617,889,4042,4272,230,3.87
"Sire",0.314,49558,42173,58050,15877,46904,52271,5367,2.96
"Siya Debirna Wayu",0.472,19420,15728,23231,7503,18357,20487,2129,3.52
"Sodo",0.345,50371,44534,56281,11747,48761,51999,3239,3.63
"Sodo Daci",0.375,22523,19996,25324,5328,21765,23288,1523,3.5
"Sodo Zuria",0.298,42445,35889,49980,14091,41299,43606,2307,6.11
"Soro",0.35,52038,45671,58640,12969,50366,53738,3373,3.84
"Sude",0.279,53280,43654,63676,20022,49943,56716,6773,2.96
"Sululta",0.431,95809,80141,110777,30636,91217,100471,9253,3.31
"Surma",0.724,30749,25138,35071,9933,28994,32365,3371,2.95
"Tach Armacho",0.344,43123,35856,51647,15792,39528,46839,7310,2.16
"Tach Gayint",0.406,31716,25876,37748,11873,30005,33448,3443,3.45
"Tahtay Adiyabo",0.029,5747,347,30096,29749,1542,15327,13785,2.16
"Tahtay Koraro",0.042,2989,491,9255,8764,705,8158,7454,1.18
"Tahtay Maychew",0.062,3967,1233,8702,7469,401,15789,15388,0.49
"Takusa",0.327,40416,34915,46375,11460,38333,42550,4217,2.72
"Tanqua Abergele",0.147,15236,7094,26946,19852,10801,20728,9927,2
"Tarema Ber",0.478,27338,22473,32090,9617,25629,29053,3423,2.81
"Telalak",0.561,79623,49982,104134,54152,67650,91082,23432,2.31
"Teltele",0.67,100026,77102,119624,42522,87829,110238,22409,1.9
"Tembaro",0.367,30607,26499,34981,8482,29543,31682,2139,3.97
"Tena",0.248,44854,35217,56327,21110,42054,47746,5692,3.71
"Tenta",0.484,80839,63075,98302,35227,75352,86339,10987,3.21
"Teru",0.125,24145,2410,81472,79062,10178,46122,35944,2.2
"Thehulederie",0.488,44226,36053,52598,16545,41080,47380,6301,2.63
"Tikur Enchini",0.359,25830,22199,29011,6813,25265,26398,1133,6.01
"Tiro Afeta",0.337,53148,47106,59072,11966,51930,54377,2447,4.89
"Tiyo",0.276,25470,19468,31096,11628,23879,27157,3278,3.55
"Tocha",0.354,30481,27451,33706,6255,29765,31203,1438,4.35
"Toke Kutaye",0.348,51931,45806,58221,12415,50700,53172,2472,5.02
"Tole",0.389,19532,16766,22431,5666,18873,20197,1324,4.28
"Tsegede",0.37,125843,98242,155234,56992,112555,139620,27065,2.11
"Tselemt",0.217,13426,10032,17035,7003,11958,14997,3039,2.3
"Tselemti",0.194,40770,30710,52355,21645,32394,51038,18644,1.16
"Tulo",0.324,23950,15197,42567,27369,17274,35520,18245,1.5
"Ubadebretsehay",0.361,22426,19877,24859,4982,21753,23106,1353,3.68
"Uraga",0.249,37389,30097,45386,15289,35325,39513,4188,3.65
"Wadera",0.378,38896,29150,50553,21403,35034,42843,7809,2.74
"Wadla",0.416,42619,32449,52313,19864,39912,45363,5451,3.64
"Waliso",0.374,46660,40612,52643,12031,45072,48283,3211,3.75
"Walmara",0.414,49833,42209,57007,14798,47756,51930,4174,3.55
"Wama Hagalo",0.334,18611,16681,20614,3933,18271,18954,683,5.76
"Wantawo",0.017,220,15,877,862,77,496,419,2.06
"Wara Jarso",0.422,79750,70561,89817,19257,76426,83102,6676,2.88
"Warder",0.375,0,0,0,0,0,0,0,NA
"Wayu Tuka",0.302,22860,20204,25686,5482,22378,23346,968,5.66
"Wegde",0.466,57158,47248,67218,19970,53945,60388,6442,3.1
"Wegera",0.257,43551,34262,52667,18405,40705,46493,5788,3.18
"Welkait",0.28,86250,68921,105862,36942,75149,98321,23172,1.59
"Wemberma",0.343,25095,22418,27988,5570,24419,25778,1359,4.1
"Wenago",0.256,2056,1554,2528,974,1923,2194,271,3.59
"Wenbera",0.418,25924,23114,29152,6038,25034,26822,1788,3.38
"Wenchi",0.374,33262,28904,37172,8269,32373,34158,1785,4.63
"Were Ilu",0.508,65726,52561,78765,26203,61430,70020,8590,3.05
"Werei Leke",0.045,5693,887,17153,16266,1631,14662,13031,1.25
"West Belesa",0.267,36206,29790,43062,13273,34102,38371,4269,3.11
"West Esite",0.338,54441,46641,62519,15879,52328,56587,4259,3.73
"West Imi",0.351,0,0,0,0,0,1,1,0
"Wilbareg",0.308,43955,37411,50643,13232,42494,45438,2944,4.49
"Wondo-Genet",0.222,18835,13320,24988,11667,17772,19934,2162,5.4
"Wonosho",0.24,12752,10132,16018,5886,12113,13407,1293,4.55
"Worebabu",0.506,58408,47520,69501,21981,54119,62692,8573,2.56
"Wuchale",0.435,47760,40289,55147,14858,45385,50155,4770,3.11
"Yabelo",0.736,97046,67546,119621,52075,86376,106323,19946,2.61
"Yalo",0.163,8786,2216,20300,18085,4951,14014,9064,2
"Yama Logi Welel",0.303,10496,9247,11693,2446,10232,10763,531,4.61
"Yaso",0.332,5916,5138,6875,1737,5701,6133,433,4.01
"Yaya Gulele",0.433,28471,24186,32909,8723,27196,29757,2561,3.41
"Yayu",0.304,16023,14268,17869,3601,15603,16447,845,4.26
"Yeka",0.346,11463,6841,15814,8973,10129,12864,2735,3.28
"Yeki",0.299,16521,14641,18494,3853,16054,16995,941,4.09
"Yem",0.369,28477,25124,31850,6726,27794,29165,1371,4.91
"Yilmana Densa",0.31,79128,68338,89528,21190,76624,81666,5041,4.2
"Yirgachefe",0.266,13096,10611,15458,4848,12415,13796,1381,3.51
"Yubdo",0.275,8874,7836,9898,2062,8675,9074,399,5.17
"Zala",0.367,37948,34187,41886,7699,37006,38897,1892,4.07
"Ziquala",0.339,44069,33408,55718,22310,40404,47851,7447,3
"Ziway Dugda",0.326,68661,59933,78808,18875,65748,71622,5874,3.21
"Total",0.382,22174206,19865473,24440930,4575457,20404829,24223884,3819055,1.2
